Tamaño:	Tiempo promedio:	Promedio OB:	Min OB:	Max OB
1	 0.0000004	 0.000	 0	 0
6	 0.0000220	 9.000	 8	 11
11	 0.0000316	 25.000	 19	 29
16	 0.0000433	 45.000	 42	 49
21	 0.0000645	 68.000	 63	 73
26	 0.0000741	 92.000	 84	 98
31	 0.0000776	 116.000	 108	 123
36	 0.0001085	 143.000	 137	 150
41	 0.0001170	 171.000	 160	 180
46	 0.0001205	 199.000	 192	 206
51	 0.0001342	 227.000	 212	 234
56	 0.0001497	 257.000	 246	 267
61	 0.0002104	 286.000	 276	 295
66	 0.0002303	 317.000	 307	 326
71	 0.0002529	 350.000	 340	 359
76	 0.0002655	 383.000	 375	 394
81	 0.0002921	 415.000	 407	 424
86	 0.0003000	 449.000	 439	 460
91	 0.0003279	 480.000	 465	 490
96	 0.0003178	 512.000	 500	 524
