Tamaño:	Tiempo promedio:	Promedio OB:	Min OB:	Max OB
1	 0.0000002	 0.000	 0	 0
6	 0.0000005	 10.000	 8	 15
11	 0.0000010	 28.000	 22	 41
16	 0.0000012	 52.000	 39	 85
21	 0.0000016	 76.000	 60	 110
26	 0.0000020	 107.000	 84	 155
31	 0.0000023	 135.000	 114	 168
36	 0.0000024	 166.000	 133	 229
41	 0.0000029	 200.000	 160	 267
46	 0.0000032	 227.000	 191	 273
51	 0.0000035	 261.000	 230	 343
56	 0.0000042	 304.000	 254	 429
61	 0.0000041	 341.000	 296	 487
66	 0.0000046	 378.000	 317	 564
71	 0.0000049	 412.000	 352	 524
76	 0.0000053	 452.000	 401	 585
81	 0.0000057	 502.000	 418	 640
86	 0.0000067	 522.000	 429	 670
91	 0.0000066	 578.000	 497	 738
96	 0.0000071	 617.000	 534	 829
101	 0.0000075	 644.000	 569	 803
106	 0.0000079	 693.000	 574	 861
111	 0.0000082	 735.000	 660	 879
116	 0.0000088	 793.000	 675	 940
121	 0.0000092	 844.000	 683	 1053
126	 0.0000102	 874.000	 768	 1102
131	 0.0000100	 922.000	 796	 1131
136	 0.0000109	 971.000	 843	 1206
141	 0.0000138	 982.000	 858	 1177
146	 0.0000118	 1059.000	 928	 1302
151	 0.0000120	 1114.000	 952	 1334
156	 0.0000129	 1120.000	 990	 1385
161	 0.0000128	 1182.000	 1062	 1421
166	 0.0000134	 1249.000	 1091	 1561
171	 0.0000139	 1313.000	 1109	 1669
176	 0.0000142	 1329.000	 1163	 1532
181	 0.0000146	 1372.000	 1144	 1640
186	 0.0000150	 1424.000	 1271	 1747
191	 0.0000156	 1446.000	 1260	 1780
196	 0.0000161	 1540.000	 1307	 1921
201	 0.0000170	 1582.000	 1358	 1795
206	 0.0000171	 1620.000	 1406	 1933
211	 0.0000181	 1663.000	 1444	 2106
216	 0.0000183	 1731.000	 1513	 2263
221	 0.0000194	 1760.000	 1545	 2281
226	 0.0000210	 1884.000	 1669	 2273
231	 0.0000258	 1849.000	 1652	 2242
236	 0.0000207	 1905.000	 1695	 2273
241	 0.0000213	 1953.000	 1748	 2443
246	 0.0000218	 1978.000	 1810	 2397
251	 0.0000218	 2060.000	 1828	 2577
256	 0.0000219	 2109.000	 1868	 2991
261	 0.0000230	 2172.000	 1905	 2633
