Tamaño	Tiempo promedio	Promedio OB	Min OB	Max OB

1	0.0000020	1.000	1	1
6	0.0000010	3.000	1	6
11	0.0000011	6.000	1	11
16	0.0000010	8.000	1	16
21	0.0000010	11.000	1	21
26	0.0000007	13.000	1	26
31	0.0000008	16.000	1	31
36	0.0000008	18.000	1	36
41	0.0000009	21.000	1	41
46	0.0000009	23.000	1	46
51	0.0000009	26.000	1	51
56	0.0000010	28.000	1	56
61	0.0000010	31.000	1	61
66	0.0000009	33.000	1	66
71	0.0000010	36.000	1	71
76	0.0000011	38.000	1	76
81	0.0000010	41.000	1	81
86	0.0000010	43.000	1	86
91	0.0000012	46.000	1	91
96	0.0000012	48.000	1	96
101	0.0000012	51.000	1	101
106	0.0000012	53.000	1	106
111	0.0000012	56.000	1	111
116	0.0000012	58.000	1	116
121	0.0000013	61.000	1	121
126	0.0000014	63.000	1	126
131	0.0000013	66.000	1	131
136	0.0000013	68.000	1	136
141	0.0000014	71.000	1	141
146	0.0000015	73.000	1	146
151	0.0000014	76.000	1	151
156	0.0000015	78.000	1	156
161	0.0000015	81.000	1	161
166	0.0000014	83.000	1	166
171	0.0000016	86.000	1	171
176	0.0000016	88.000	1	176
181	0.0000016	91.000	1	181
186	0.0000016	93.000	1	186
191	0.0000016	96.000	1	191
196	0.0000017	98.000	1	196
201	0.0000017	101.000	1	201
206	0.0000018	103.000	1	206
211	0.0000024	106.000	1	211
216	0.0000011	108.000	1	216
221	0.0000010	111.000	1	221
226	0.0000008	113.000	1	226
231	0.0000009	116.000	1	231
236	0.0000008	118.000	1	236
241	0.0000009	121.000	1	241
246	0.0000008	123.000	1	246
251	0.0000009	126.000	1	251
256	0.0000009	128.000	1	256
261	0.0000009	131.000	1	261
266	0.0000009	133.000	1	266
271	0.0000009	136.000	1	271
276	0.0000010	138.000	1	276
281	0.0000007	141.000	1	281
286	0.0000007	143.000	1	286
291	0.0000007	146.000	1	291
296	0.0000007	148.000	1	296
301	0.0000006	151.000	1	301
306	0.0000006	153.000	1	306
311	0.0000007	156.000	1	311
316	0.0000006	158.000	1	316
321	0.0000006	161.000	1	321
326	0.0000006	163.000	1	326
331	0.0000006	166.000	1	331
336	0.0000007	168.000	1	336
341	0.0000007	171.000	1	341
346	0.0000007	173.000	1	346
351	0.0000007	176.000	1	351
356	0.0000007	178.000	1	356
361	0.0000007	181.000	1	361
366	0.0000007	183.000	1	366
371	0.0000007	186.000	1	371
376	0.0000007	188.000	1	376
381	0.0000007	191.000	1	381
386	0.0000007	193.000	1	386
391	0.0000007	196.000	1	391
396	0.0000008	198.000	1	396
401	0.0000007	201.000	1	401
406	0.0000007	203.000	1	406
411	0.0000008	206.000	1	411
416	0.0000008	208.000	1	416
421	0.0000008	211.000	1	421
426	0.0000008	213.000	1	426
431	0.0000008	216.000	1	431
436	0.0000007	218.000	1	436
441	0.0000008	221.000	1	441
446	0.0000009	223.000	1	446
451	0.0000009	226.000	1	451
456	0.0000008	228.000	1	456
461	0.0000008	231.000	1	461
466	0.0000008	233.000	1	466
471	0.0000008	236.000	1	471
476	0.0000008	238.000	1	476
481	0.0000009	241.000	1	481
486	0.0000009	243.000	1	486
491	0.0000009	246.000	1	491
496	0.0000009	248.000	1	496
501	0.0000009	251.000	1	501
506	0.0000009	253.000	1	506
511	0.0000009	256.000	1	511
516	0.0000009	258.000	1	516
521	0.0000009	261.000	1	521
526	0.0000009	263.000	1	526
531	0.0000010	266.000	1	531
536	0.0000009	268.000	1	536
541	0.0000009	271.000	1	541
546	0.0000009	273.000	1	546
551	0.0000009	276.000	1	551
556	0.0000009	278.000	1	556
561	0.0000010	281.000	1	561
566	0.0000010	283.000	1	566
571	0.0000010	286.000	1	571
576	0.0000010	288.000	1	576
581	0.0000010	291.000	1	581
586	0.0000010	293.000	1	586
591	0.0000010	296.000	1	591
596	0.0000010	298.000	1	596
601	0.0000010	301.000	1	601
606	0.0000010	303.000	1	606
611	0.0000010	306.000	1	611
616	0.0000010	308.000	1	616
621	0.0000010	311.000	1	621
626	0.0000011	313.000	1	626
631	0.0000010	316.000	1	631
636	0.0000010	318.000	1	636
641	0.0000010	321.000	1	641
646	0.0000011	323.000	1	646
651	0.0000011	326.000	1	651
656	0.0000011	328.000	1	656
661	0.0000011	331.000	1	661
666	0.0000011	333.000	1	666
671	0.0000011	336.000	1	671
676	0.0000011	338.000	1	676
681	0.0000011	341.000	1	681
686	0.0000011	343.000	1	686
691	0.0000011	346.000	1	691
696	0.0000011	348.000	1	696
701	0.0000011	351.000	1	701
706	0.0000012	353.000	1	706
711	0.0000012	356.000	1	711
716	0.0000012	358.000	1	716
721	0.0000012	361.000	1	721
726	0.0000012	363.000	1	726
731	0.0000012	366.000	1	731
736	0.0000012	368.000	1	736
741	0.0000012	371.000	1	741
746	0.0000012	373.000	1	746
751	0.0000012	376.000	1	751
756	0.0000012	378.000	1	756
761	0.0000012	381.000	1	761
766	0.0000013	383.000	1	766
771	0.0000012	386.000	1	771
776	0.0000012	388.000	1	776
781	0.0000013	391.000	1	781
786	0.0000014	393.000	1	786
791	0.0000013	396.000	1	791
